id,text,cluster,category
1,Wow... Loved this place.,6,Overall Satisfaction
2,Crust is not good.,8,Food Quality
3,Not tasty and the texture was just nasty.,0,Food Quality
4,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,Overall Satisfaction
5,The selection on the menu was great and so were the prices.,5,Value for Money
6,Now I am getting angry and I want my damn pho.,1,Overall Satisfaction
7,Honeslty it didn't taste THAT fresh.),0,Food Quality
8,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,Food Quality
9,The fries were great too.,0,Food Quality
10,A great touch.,1,Ambience and Atmosphere
11,Service was very prompt.,9,Service Experience
12,Would not go back.,4,Overall Satisfaction
13,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,7,Value for Money
14,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",8,Food Quality
15,I was disgusted because I was pretty sure that was human hair.,1,Service Experience
16,I was shocked because no signs indicate cash only.,1,Service Experience
17,Highly recommended.,1,Overall Satisfaction
18,Waitress was a little slow in service.,7,Service Experience
19,"This place is not worth your time, let alone Vegas.",6,Overall Satisfaction
20,did not like at all.,1,Overall Satisfaction
21,The Burrittos Blah!,8,Food Quality
22,"The food, amazing.",5,Food Quality
23,Service is also cute.,9,Service Experience
24,I could care less... The interior is just beautiful.,2,Ambience and Atmosphere
25,So they performed.,1,Overall Satisfaction
26,That's right....the red velvet cake.....ohhh this stuff is so good.,8,Food Quality
27,- They never brought a salad we asked for.,0,Service Experience
28,"This hole in the wall has great Mexican street tacos, and friendly staff.",5,Food Quality
29,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",3,Service Experience
30,The worst was the salmon sashimi.,0,Food Quality
31,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",8,Value for Money
32,This was like the final blow!,1,Overall Satisfaction
33,I found this place by accident and I could not be happier.,6,Overall Satisfaction
34,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",5,Food Quality
35,"Overall, I like this place a lot.",6,Overall Satisfaction
36,The only redeeming quality of the restaurant was that it was very inexpensive.,5,Value for Money
37,Ample portions and good prices.,2,Value for Money
38,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",7,Service Experience
39,My first visit to Hiro was a delight!,6,Overall Satisfaction
40,Service sucks.,9,Service Experience
41,The shrimp tender and moist.,8,Food Quality
42,There is not a deal good enough that would drag me into that establishment again.,6,Overall Satisfaction
43,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,Food Quality
44,"On a positive note, our server was very attentive and provided great service.",9,Service Experience
45,"Frozen pucks of disgust, with some of the worst people behind the register.",1,Overall Satisfaction
46,The only thing I did like was the prime rib and dessert section.,0,Food Quality
47,It's too bad the food is so damn generic.,8,Food Quality
48,"The burger is good beef, cooked just right.",8,Food Quality
49,If you want a sandwich just go to any Firehouse!!!!!,8,Overall Satisfaction
50,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",0,Food Quality
51,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,8,Food Quality
52,He came running after us when he realized my husband had left his sunglasses on the table.,3,Service Experience
53,Their chow mein is so good!,8,Food Quality
54,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",7,Service Experience
55,The portion was huge!,1,Value for Money
56,"Loved it...friendly servers, great food, wonderful and imaginative menu.",5,Overall Satisfaction
57,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,5,Overall Satisfaction
58,Not much seafood and like 5 strings of pasta at the bottom.,8,Food Quality
59,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",0,Food Quality
60,"The ripped banana was not only ripped, but petrified and tasteless.",0,Food Quality
61,At least think to refill my water before I struggle to wave you over for 10 minutes.,1,Service Experience
62,This place receives stars for their APPETIZERS!!!,5,Food Quality
63,The cocktails are all handmade and delicious.,8,Food Quality
64,We'd definitely go back here again.,4,Overall Satisfaction
65,We are so glad we found this place.,6,Overall Satisfaction
66,"Great food and service, huge portions and they give a military discount.",5,Overall Satisfaction
67,Always a great time at Dos Gringos!,6,Ambience and Atmosphere
68,Update.....went back for a second time and it was still just as amazing,1,Overall Satisfaction
69,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,Food Quality
70,A great way to finish a great.,1,Overall Satisfaction
71,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",0,Value for Money
72,"- Really, really good rice, all the time.",8,Food Quality
73,The service was meh.,9,Service Experience
74,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",3,Service Experience
75,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",6,Overall Satisfaction
76,The scallop dish is quite appalling for value as well.,8,Value for Money
77,2 times - Very Bad Customer Service !,9,Service Experience
78,The sweet potato fries were very good and seasoned well.,0,Food Quality
79,Today is the second time I've been to their lunch buffet and it was pretty good.,5,Food Quality
80,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,5,Food Quality
81,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,6,Overall Satisfaction
82,walked in and the place smelled like an old grease trap and only 2 others there eating.,3,Ambience and Atmosphere
83,The turkey and roast beef were bland.,0,Food Quality
84,This place has it!,6,Overall Satisfaction
85,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,Food Quality
86,I love the Pho and the spring rolls oh so yummy you have to try.,8,Food Quality
87,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,Food Quality
88,All I have to say is the food was amazing!!!,0,Food Quality
89,Omelets are to die for!,1,Food Quality
90,Everything was fresh and delicious!,0,Food Quality
91,"In summary, this was a largely disappointing dining experience.",3,Overall Satisfaction
92,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,Overall Satisfaction
93,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",6,Overall Satisfaction
94,Best breakfast buffet!!!,5,Food Quality
95,say bye bye to your tip lady!,7,Service Experience
96,We'll never go again.,4,Overall Satisfaction
97,Will be back again!,4,Overall Satisfaction
98,Food arrived quickly!,3,Service Experience
99,It was not good.,1,Food Quality
100,"On the up side, their cafe serves really good food.",5,Food Quality
101,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",5,Service Experience
102,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",7,Service Experience
103,"Best Buffet in town, for the price you cannot beat it.",5,Value for Money
104,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",0,Food Quality
105,This is one of the better buffets that I have been to.,5,Value for Money
106,So we went to Tigerlilly and had a fantastic afternoon!,5,Overall Satisfaction
107,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",5,Overall Satisfaction
108,The ambience is wonderful and there is music playing.,2,Ambience and Atmosphere
109,Will go back next trip out.,4,Overall Satisfaction
110,Sooooo good!!,1,Overall Satisfaction
111,"REAL sushi lovers, let's be honest - Yama is not that good.",8,Food Quality
112,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",3,Service Experience
113,This is a really fantastic Thai restaurant which is definitely worth a visit.,5,Overall Satisfaction
114,"Nice, spicy and tender.",8,Food Quality
115,Good prices.,2,Value for Money
116,Check it out.,6,Overall Satisfaction
117,It was pretty gross!,1,Food Quality
118,I've had better atmosphere.,1,Ambience and Atmosphere
119,Kind of hard to mess up a steak but they did.,0,Food Quality
120,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",6,Overall Satisfaction
121,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,8,Food Quality
122,"Worst service to boot, but that is the least of their worries.",9,Service Experience
123,Service was fine and the waitress was friendly.,7,Service Experience
124,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",0,Food Quality
125,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",8,Food Quality
126,"Host staff were, for lack of a better word, BITCHES!",7,Service Experience
127,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,2,Overall Satisfaction
128,"Phenomenal food, service and ambiance.",5,Overall Satisfaction
129,I wouldn't return.,4,Overall Satisfaction
130,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",5,Value for Money
131,This place is way too overpriced for mediocre food.,8,Value for Money
132,Penne vodka excellent!,8,Food Quality
133,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",8,Food Quality
134,The management is rude.,7,Service Experience
135,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",8,Food Quality
136,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",6,Food Quality
137,I had a seriously solid breakfast here.,0,Food Quality
138,This is one of the best bars with food in Vegas.,5,Overall Satisfaction
139,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",5,Service Experience
140,My drink was never empty and he made some really great menu suggestions.,5,Service Experience
141,Don't do it!!!!,1,Overall Satisfaction
142,The waiter wasn't helpful or friendly and rarely checked on us.,7,Service Experience
143,My husband and I ate lunch here and were very disappointed with the food and service.,3,Overall Satisfaction
144,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,Food Quality
145,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,8,Food Quality
146,The bathrooms are clean and the place itself is well decorated.,2,Ambience and Atmosphere
147,"The menu is always changing, food quality is going down & service is extremely slow.",9,Service Experience
148,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",3,Service Experience
149,I give it 2 thumbs down,1,Overall Satisfaction
150,We watched our waiter pay a lot more attention to other tables and ignore us.,7,Service Experience
151,My fiancé and I came in the middle of the day and we were greeted and seated right away.,3,Service Experience
152,This is a great restaurant at the Mandalay Bay.,5,Overall Satisfaction
153,We waited for forty five minutes in vain.,3,Service Experience
154,Crostini that came with the salad was stale.,0,Food Quality
155,Some highlights : Great quality nigiri here!,1,Food Quality
156,the staff is friendly and the joint is always clean.,7,Service Experience
157,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,0,Food Quality
158,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,8,Food Quality
159,this place is good.,6,Overall Satisfaction
160,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,Food Quality
161,I came back today since they relocated and still not impressed.,6,Overall Satisfaction
162,I was seated immediately.,3,Service Experience
163,"Their menu is diverse, and reasonably priced.",5,Value for Money
164,Avoid at all cost!,1,Overall Satisfaction
165,Restaurant is always full but never a wait.,3,Service Experience
166,DELICIOUS!!,8,Food Quality
167,This place is hands-down one of the best places to eat in the Phoenix metro area.,5,Overall Satisfaction
168,So don't go there if you are looking for good food...,8,Food Quality
169,I've never been treated so bad.,7,Service Experience
170,Bacon is hella salty.,8,Food Quality
171,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,Food Quality
172,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",5,Value for Money
173,The waitresses are very friendly.,7,Service Experience
174,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",8,Food Quality
175,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,5,Food Quality
176,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",1,Overall Satisfaction
177,The service here leaves a lot to be desired.,9,Service Experience
178,"The atmosphere is modern and hip, while maintaining a touch of coziness.",2,Ambience and Atmosphere
179,"Not a weekly haunt, but definitely a place to come back to every once in a while.",6,Overall Satisfaction
180,We literally sat there for 20 minutes with no one asking to take our order.,3,Service Experience
181,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,Food Quality
182,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,3,Service Experience
183,I dressed up to be treated so rudely!,7,Service Experience
184,It was probably dirt.,1,Food Quality
185,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",5,Overall Satisfaction
186,I ordered the Lemon raspberry ice cocktail which was also incredible.,0,Food Quality
187,"The food sucked, which we expected but it sucked more than we could have imagined.",0,Food Quality
188,Interesting decor.,2,Ambience and Atmosphere
189,What I really like there is the crepe station.,2,Ambience and Atmosphere
